trader_id,symbol,side,open_time,close_time,volume,entry_price,exit_price,pnl_net,trade_id,strategy_label,pnl_gross,pips,balance_after_trade,broker_commission,swaps,volume_alt_raw,quality_flag,quality_warning_codes,quality_error_codes,raw_row_number_1based,raw_source_file
2026-04_Quantum_US30_SingleTrader,US30,BUY,2019-08-01 14:50:43.720,2019-08-01 15:48:40.466,0.9,26963.2,27086.2,110.7,2,LONDON_1B1S,110.7,123.0,4110.7,0.0,0.0,0.9,WARN,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,,2,"2026-04-02 18-45-49 History - Quantum_us30pepper (US30, m5, True, True, 0, 1, 61.5, 122.5, 9, 15, 7,).csv"
2026-04_Quantum_US30_SingleTrader,US30,BUY,2019-08-01 17:30:01.394,2019-08-01 18:27:17.957,0.3,27114.1,27051.9,-18.66,6,RRL,-18.66,-62.2,4073.08,0.0,0.0,0.3,WARN,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,,3,"2026-04-02 18-45-49 History - Quantum_us30pepper (US30, m5, True, True, 0, 1, 61.5, 122.5, 9, 15, 7,).csv"
2026-04_Quantum_US30_SingleTrader,US30,BUY,2019-08-01 17:35:00.614,2019-08-01 18:27:02.879,0.3,27125.1,27061.9,-18.96,5,RRL,-18.96,-63.2,4091.74,0.0,0.0,0.3,WARN,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,,4,"2026-04-02 18-45-49 History - Quantum_us30pepper (US30, m5, True, True, 0, 1, 61.5, 122.5, 9, 15, 7,).csv"
2026-04_Quantum_US30_SingleTrader,US30,SELL,2019-08-01 18:40:00.104,2019-08-01 18:54:27.458,0.7,26790.4,26667.0,86.38,9,RRL,86.38,123.4,4159.46,0.0,0.0,0.7,WARN,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,,5,"2026-04-02 18-45-49 History - Quantum_us30pepper (US30, m5, True, True, 0, 1, 61.5, 122.5, 9, 15, 7,).csv"
2026-04_Quantum_US30_SingleTrader,US30,SELL,2019-08-01 18:45:00.254,2019-08-01 19:12:03.296,0.7,26751.4,26627.5,86.73,10,RRL,86.73,123.9,4246.19,0.0,0.0,0.7,WARN,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,,6,"2026-04-02 18-45-49 History - Quantum_us30pepper (US30, m5, True, True, 0, 1, 61.5, 122.5, 9, 15, 7,).csv"
2026-04_Quantum_US30_SingleTrader,US30,SELL,2019-08-02 15:30:00.129,2019-08-02 15:52:11.381,0.8,26397.2,26273.3,99.12,12,LONDON_1B1S,99.12,123.9,4345.31,0.0,0.0,0.8,WARN,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,,7,"2026-04-02 18-45-49 History - Quantum_us30pepper (US30, m5, True, True, 0, 1, 61.5, 122.5, 9, 15, 7,).csv"
2026-04_Quantum_US30_SingleTrader,US30,BUY,2019-08-06 14:36:03.681,2019-08-06 14:47:04.741,1.0,25906.2,25844.6,-61.6,14,LONDON_1B1S,-61.6,-61.6,4283.71,0.0,0.0,1.0,WARN,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,,8,"2026-04-02 18-45-49 History - Quantum_us30pepper (US30, m5, True, True, 0, 1, 61.5, 122.5, 9, 15, 7,).csv"
2026-04_Quantum_US30_SingleTrader,US30,BUY,2019-08-08 14:35:01.156,2019-08-08 14:51:26.078,1.0,26089.3,26027.7,-61.6,16,LONDON_1B1S,-61.6,-61.6,4222.11,0.0,0.0,1.0,WARN,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,,9,"2026-04-02 18-45-49 History - Quantum_us30pepper (US30, m5, True, True, 0, 1, 61.5, 122.5, 9, 15, 7,).csv"
2026-04_Quantum_US30_SingleTrader,US30,BUY,2019-08-08 17:50:00.581,2019-08-08 20:55:00.115,0.3,26319.1,26366.7,14.28,20,RRL,14.28,47.6,4217.91,0.0,0.0,0.3,WARN,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,,10,"2026-04-02 18-45-49 History - Quantum_us30pepper (US30, m5, True, True, 0, 1, 61.5, 122.5, 9, 15, 7,).csv"
2026-04_Quantum_US30_SingleTrader,US30,BUY,2019-08-08 18:10:00.064,2019-08-08 19:49:48.748,0.3,26323.1,26261.5,-18.48,19,RRL,-18.48,-61.6,4203.63,0.0,0.0,0.3,WARN,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,,11,"2026-04-02 18-45-49 History - Quantum_us30pepper (US30, m5, True, True, 0, 1, 61.5, 122.5, 9, 15, 7,).csv"
