trader_id,period_start,pnl_net,trades,win_rate,expectancy,pnl_std,e_sd,hold_min_median,buy_share,volume_mean,warning_breaches,critical_breaches,warning_metrics,critical_metrics,consecutive_negative,robust_score,mahalanobis,psi_expectancy,status
2026-04_Quantum_US30_SingleTrader,2019-08-05,345.31,6,0.6666666666666666,57.55166666666667,59.82871030422323,0.9619406197128768,39.544225,0.5,0.6166666666666667,0,0,,,0,0.7319118549093793,1.5917890885203851,0.0,GREEN
2026-04_Quantum_US30_SingleTrader,2019-08-12,10.839999999999975,7,0.42857142857142855,1.548571428571425,72.89336399347827,0.021244340276434143,48.038133333333334,0.7142857142857143,0.7428571428571429,0,0,,,0,0.44682369697645613,0.6227205947053668,0.0,GREEN
2026-04_Quantum_US30_SingleTrader,2019-08-19,215.4,4,1.0,53.85,50.7356383620035,1.0613841027440167,262.4980166666667,1.0,0.65,2,2,buy_share_high|hold_min_median,buy_share_high|hold_min_median,0,1.7011981150416484,3.398975924788118,0.0,YELLOW
2026-04_Quantum_US30_SingleTrader,2019-08-26,-266.04,5,0.0,-53.208000000000006,8.382763267562792,-6.347310344059104,22.243383333333334,0.2,0.8600000000000001,0,0,,,1,1.3672639483345752,2.9904106980868344,0.0,GREEN
2026-04_Quantum_US30_SingleTrader,2019-09-02,-122.73,4,0.0,-30.6825,29.164901708503436,-1.0520350902144164,112.37918333333334,0.75,0.6,0,0,,,2,1.0514371731238707,2.4301110480855885,0.0,YELLOW
2026-04_Quantum_US30_SingleTrader,2019-09-09,-6.2,1,0.0,-6.2,,,261.50201666666663,0.0,0.1,1,1,hold_min_median,hold_min_median,3,2.5893170220179718,5.991139596661277,6.90774215661876,RED
2026-04_Quantum_US30_SingleTrader,2019-10-07,54.22000000000001,9,0.5555555555555556,6.024444444444446,20.491055433475793,0.2940036185057819,154.99628333333334,0.6666666666666666,0.34444444444444444,1,0,hold_min_median,,0,1.05467493084227,2.4127980571306744,9.210314938179645,RED
2026-04_Quantum_US30_SingleTrader,2019-10-14,-89.37,6,0.0,-14.895000000000001,6.097510147593032,-2.442800362682421,105.072675,1.0,0.3,1,1,buy_share_high,buy_share_high,1,1.0019856745241909,2.3880423835524596,18.990335046318386,RED
2026-04_Quantum_US30_SingleTrader,2019-10-21,-9.36,2,0.0,-4.68,2.333452377915607,-2.0056119611836616,257.49176666666665,1.0,0.3,2,2,buy_share_high|hold_min_median,buy_share_high|hold_min_median,2,1.8367815957917748,4.347415540057651,16.254279751685605,RED
2026-04_Quantum_US30_SingleTrader,2019-10-28,-53.1,4,0.0,-13.275,6.5309800183433415,-2.032619907382194,113.09454166666666,1.0,0.3,1,1,buy_share_high,buy_share_high,3,1.17085137282305,2.536637772930634,16.600519791403908,RED
2026-04_Quantum_US30_SingleTrader,2019-11-04,98.43,3,1.0,32.81,46.87776338521283,0.6999054056906995,236.47038333333333,0.6666666666666666,0.6666666666666666,1,1,hold_min_median,hold_min_median,0,1.5864277997367184,3.4278983879168745,19.902291010789135,RED
2026-04_Quantum_US30_SingleTrader,2019-11-11,-50.20999999999999,5,0.2,-10.041999999999998,98.10706253884071,-0.10235756468627687,158.86661666666666,0.8,0.96,1,0,hold_min_median,,1,0.8429713541408101,2.2014037391361545,15.536436707278003,RED
2026-04_Quantum_US30_SingleTrader,2019-11-18,1.9799999999999962,6,0.5,0.32999999999999935,61.78484959923428,0.005341115210938203,172.39555833333333,0.8333333333333334,0.8666666666666667,1,0,hold_min_median,,0,0.7259832138642422,1.7766693971110088,6.905062017928088,RED
2026-04_Quantum_US30_SingleTrader,2019-11-25,43.849999999999994,4,0.5,10.962499999999999,72.24050681577475,0.1517500427835617,117.47606666666667,0.75,0.875,0,0,,,0,0.6432879115060918,1.2046372884335894,7.457460640553842,RED
2026-04_Quantum_US30_SingleTrader,2019-12-02,129.43,3,1.0,43.14333333333334,27.507366892040633,1.5684283233164362,154.97515,0.6666666666666666,0.8333333333333334,1,0,hold_min_median,,0,1.3105378115201691,2.805376817751067,8.035458777436615,RED
2026-04_Quantum_US30_SingleTrader,2019-12-09,-20.97,3,0.0,-6.989999999999999,7.192183256842111,-0.9718884725789252,119.99285,0.6666666666666666,0.39999999999999997,0,0,,,1,1.19843185888594,2.703700246369961,8.517123821498426,RED
2026-04_Quantum_US30_SingleTrader,2019-12-16,-6.51,1,0.0,-6.51,,,25.05935,1.0,0.1,1,1,buy_share_high,buy_share_high,2,1.3697999290054452,3.1792282352659518,7.795306827361123,RED
2026-04_Quantum_US30_SingleTrader,2019-12-23,13.26,2,1.0,6.63,1.4849242404917495,4.464874246920772,167.48989166666667,1.0,0.3,2,1,buy_share_high|hold_min_median,buy_share_high,0,1.5403416802981285,3.110402477142883,9.174994331943253,RED
2026-04_Quantum_US30_SingleTrader,2019-12-30,30.51,3,1.0,10.17,6.013260346933269,1.6912622127173733,154.9420166666667,0.6666666666666666,0.39999999999999997,1,0,hold_min_median,,0,1.35473724569576,2.8275264481060844,9.703853123017282,RED
2026-04_Quantum_US30_SingleTrader,2020-01-06,-80.81,6,0.16666666666666666,-13.468333333333334,43.95143429589831,-0.30643671928108707,62.0261,0.8333333333333334,0.5166666666666666,0,0,,,1,0.5532727971768281,1.2544825287042844,6.991365773752408,RED
2026-04_Quantum_US30_SingleTrader,2020-01-13,-11.660000000000004,4,0.75,-2.915000000000001,33.49003483625141,-0.0870408171939149,207.47375833333334,0.5,0.55,1,1,hold_min_median,hold_min_median,2,1.418003338975993,2.9488330091615955,8.266618149796574,RED
2026-04_Quantum_US30_SingleTrader,2020-01-20,9.11,5,0.4,1.8219999999999998,37.0667859410551,0.049154518087902416,211.98598333333334,0.8,0.52,1,1,hold_min_median,hold_min_median,0,0.9757972059909106,2.557919639693803,6.828035432540919,RED
2026-04_Quantum_US30_SingleTrader,2020-01-27,-0.019999999999999574,8,0.375,-0.0024999999999999467,42.43946470310051,-5.890743480129954e-05,95.79308333333333,0.5,0.4,0,0,,,1,0.8544456181506411,2.016113250713142,9.56870497347504,RED
2026-04_Quantum_US30_SingleTrader,2020-02-03,31.040000000000006,7,0.2857142857142857,4.434285714285715,45.06415569575701,0.09839939627900812,63.451299999999996,0.5714285714285714,0.4571428571428572,0,0,,,0,0.6553708472715554,1.4065395715047826,8.977629619536792,RED
2026-04_Quantum_US30_SingleTrader,2020-02-10,30.660000000000004,4,0.5,7.665000000000001,46.485723614890624,0.16488933384151291,237.4882333333333,1.0,0.6,2,2,buy_share_high|hold_min_median,buy_share_high|hold_min_median,0,1.2509181099974904,2.813010655830083,9.21641407471873,RED
2026-04_Quantum_US30_SingleTrader,2020-02-17,-186.38,6,0.16666666666666666,-31.063333333333333,20.685849914051555,-1.5016706329398883,144.714725,0.3333333333333333,0.6666666666666666,1,0,hold_min_median,,1,1.2179261631746716,3.156359464808408,7.353683048526411,RED
2026-04_Quantum_US30_SingleTrader,2020-02-24,-127.08999999999999,6,0.16666666666666666,-21.181666666666665,46.77636343995401,-0.4528284182214634,18.019966666666665,0.0,0.6333333333333333,0,0,,,2,1.2556490437443917,3.440497464391955,8.858421638403353,RED
2026-04_Quantum_US30_SingleTrader,2020-03-02,281.08,8,0.625,35.135,60.35957540322117,0.5820948832937776,20.584541666666667,0.5,0.625,0,0,,,0,0.8689408042730554,1.830232973600694,9.063877801518734,RED
