trader_id,close_time,pnl_net,trades,win_rate,expectancy,pnl_std,volume_mean,hold_min_median,buy_share,e_sd
2026-04_Quantum_US30_SingleTrader,2019-08-05,345.31,6,0.6666666666666666,57.55166666666667,59.82871030422323,0.6166666666666667,39.544225,0.5,0.9619406197128768
2026-04_Quantum_US30_SingleTrader,2019-08-12,10.839999999999975,7,0.42857142857142855,1.548571428571425,72.89336399347827,0.7428571428571429,48.038133333333334,0.7142857142857143,0.021244340276434143
2026-04_Quantum_US30_SingleTrader,2019-08-19,215.4,4,1.0,53.85,50.7356383620035,0.65,262.4980166666667,1.0,1.0613841027440167
2026-04_Quantum_US30_SingleTrader,2019-08-26,-266.04,5,0.0,-53.208000000000006,8.382763267562792,0.8600000000000001,22.243383333333334,0.2,-6.347310344059104
2026-04_Quantum_US30_SingleTrader,2019-09-02,-122.73,4,0.0,-30.6825,29.164901708503436,0.6,112.37918333333334,0.75,-1.0520350902144164
2026-04_Quantum_US30_SingleTrader,2019-09-09,-6.2,1,0.0,-6.2,,0.1,261.50201666666663,0.0,
2026-04_Quantum_US30_SingleTrader,2019-10-07,54.22000000000001,9,0.5555555555555556,6.024444444444446,20.491055433475793,0.34444444444444444,154.99628333333334,0.6666666666666666,0.2940036185057819
2026-04_Quantum_US30_SingleTrader,2019-10-14,-89.37,6,0.0,-14.895000000000001,6.097510147593032,0.3,105.072675,1.0,-2.442800362682421
2026-04_Quantum_US30_SingleTrader,2019-10-21,-9.36,2,0.0,-4.68,2.333452377915607,0.3,257.49176666666665,1.0,-2.0056119611836616
2026-04_Quantum_US30_SingleTrader,2019-10-28,-53.1,4,0.0,-13.275,6.5309800183433415,0.3,113.09454166666666,1.0,-2.032619907382194
2026-04_Quantum_US30_SingleTrader,2019-11-04,98.43,3,1.0,32.81,46.87776338521283,0.6666666666666666,236.47038333333333,0.6666666666666666,0.6999054056906995
2026-04_Quantum_US30_SingleTrader,2019-11-11,-50.20999999999999,5,0.2,-10.041999999999998,98.10706253884071,0.96,158.86661666666666,0.8,-0.10235756468627687
2026-04_Quantum_US30_SingleTrader,2019-11-18,1.9799999999999962,6,0.5,0.32999999999999935,61.78484959923428,0.8666666666666667,172.39555833333333,0.8333333333333334,0.005341115210938203
2026-04_Quantum_US30_SingleTrader,2019-11-25,43.849999999999994,4,0.5,10.962499999999999,72.24050681577475,0.875,117.47606666666667,0.75,0.1517500427835617
2026-04_Quantum_US30_SingleTrader,2019-12-02,129.43,3,1.0,43.14333333333334,27.507366892040633,0.8333333333333334,154.97515,0.6666666666666666,1.5684283233164362
2026-04_Quantum_US30_SingleTrader,2019-12-09,-20.97,3,0.0,-6.989999999999999,7.192183256842111,0.39999999999999997,119.99285,0.6666666666666666,-0.9718884725789252
2026-04_Quantum_US30_SingleTrader,2019-12-16,-6.51,1,0.0,-6.51,,0.1,25.05935,1.0,
2026-04_Quantum_US30_SingleTrader,2019-12-23,13.26,2,1.0,6.63,1.4849242404917495,0.3,167.48989166666667,1.0,4.464874246920772
2026-04_Quantum_US30_SingleTrader,2019-12-30,30.51,3,1.0,10.17,6.013260346933269,0.39999999999999997,154.9420166666667,0.6666666666666666,1.6912622127173733
2026-04_Quantum_US30_SingleTrader,2020-01-06,-80.81,6,0.16666666666666666,-13.468333333333334,43.95143429589831,0.5166666666666666,62.0261,0.8333333333333334,-0.30643671928108707
2026-04_Quantum_US30_SingleTrader,2020-01-13,-11.660000000000004,4,0.75,-2.915000000000001,33.49003483625141,0.55,207.47375833333334,0.5,-0.0870408171939149
2026-04_Quantum_US30_SingleTrader,2020-01-20,9.11,5,0.4,1.8219999999999998,37.0667859410551,0.52,211.98598333333334,0.8,0.049154518087902416
2026-04_Quantum_US30_SingleTrader,2020-01-27,-0.019999999999999574,8,0.375,-0.0024999999999999467,42.43946470310051,0.4,95.79308333333333,0.5,-5.890743480129954e-05
2026-04_Quantum_US30_SingleTrader,2020-02-03,31.040000000000006,7,0.2857142857142857,4.434285714285715,45.06415569575701,0.4571428571428572,63.451299999999996,0.5714285714285714,0.09839939627900812
2026-04_Quantum_US30_SingleTrader,2020-02-10,30.660000000000004,4,0.5,7.665000000000001,46.485723614890624,0.6,237.4882333333333,1.0,0.16488933384151291
2026-04_Quantum_US30_SingleTrader,2020-02-17,-186.38,6,0.16666666666666666,-31.063333333333333,20.685849914051555,0.6666666666666666,144.714725,0.3333333333333333,-1.5016706329398883
2026-04_Quantum_US30_SingleTrader,2020-02-24,-127.08999999999999,6,0.16666666666666666,-21.181666666666665,46.77636343995401,0.6333333333333333,18.019966666666665,0.0,-0.4528284182214634
2026-04_Quantum_US30_SingleTrader,2020-03-02,281.08,8,0.625,35.135,60.35957540322117,0.625,20.584541666666667,0.5,0.5820948832937776
2026-04_Quantum_US30_SingleTrader,2020-03-09,-40.68000000000001,7,0.2857142857142857,-5.811428571428572,54.945843466869405,0.6,5.134616666666667,0.5714285714285714,-0.1057664821349531
2026-04_Quantum_US30_SingleTrader,2020-03-16,73.68,1,1.0,73.68,,0.6,0.7707499999999999,1.0,
2026-04_Quantum_US30_SingleTrader,2020-04-20,-75.47999999999999,2,0.0,-37.739999999999995,0.4242640687119295,0.6,89.35366666666667,1.0,-88.95403307326745
2026-04_Quantum_US30_SingleTrader,2020-04-27,34.32000000000001,5,0.4,6.864000000000002,61.164572098560456,0.6,69.4739,1.0,0.11222182653283942
