"Order ID","Symbol","Opening direction","Closing direction","Opening time (UTC+1)","Closing time (UTC+1)","Entry price","Closing price","Closing Quantity","Closing volume","Swaps","Broker commission","Conversion fee","Gross $","Net $","Balance $","Pips","Requested quantity","Channel","Label","Comment","Deal ID","Closing volume (USD)"
"OID347987472","US30","Buy","Sell","24/03/2026 17:30:00.751","24/03/2026 17:35:26.414","46331.8","46268.4","0.60 Lots","","0.00","0.00","0.00","-38.04","-38.04","3 909.08","-63.4","0.60 Lots","cBot Cloud","RRL","","DID303229270","$ 27 761.34"
"OID349115218","US30","Sell","Buy","27/03/2026 19:10:00.417","27/03/2026 19:43:30.560","45214.0","45281.3","0.60 Lots","","0.00","0.00","0.00","-40.38","-40.38","3 831.92","-67.3","0.60 Lots","cBot Cloud","RRL","","DID304207649","$ 27 166.14"
"OID349116277","US30","Sell","Buy","27/03/2026 19:15:00.399","27/03/2026 19:43:28.960","45201.7","45263.0","0.60 Lots","","0.00","0.00","0.00","-36.78","-36.78","3 872.30","-61.3","0.60 Lots","cBot Cloud","RRL","","DID304207556","$ 27 159.72"
"OID349898615","US30","Buy","Sell","31/03/2026 17:45:00.454","31/03/2026 17:46:03.762","46096.0","46031.5","0.60 Lots","","0.00","0.00","0.00","-38.70","-38.70","3 793.22","-64.5","0.60 Lots","cBot Cloud","RRL","","DID304876264","$ 27 620.70"
"OID349901614","US30","Buy","Sell","31/03/2026 17:50:00.310","31/03/2026 18:02:22.437","46023.4","46147.0","0.60 Lots","","0.00","0.00","0.00","74.16","74.16","3 867.38","123.6","0.60 Lots","cBot Cloud","RRL","","DID304881819","$ 27 687.96"
"OID350620675","US30","Buy","Sell","02/04/2026 15:27:37.577","02/04/2026 15:33:29.283","46173.3","46303.9","0.60 Lots","","0.00","0.00","0.00","78.36","78.36","3 945.74","130.6","0.60 Lots","cBot Cloud","LONDON_1B1S","","DID305499033","$ 27 782.28"
"OID350657173","US30","Buy","Sell","02/04/2026 16:30:00.442","02/04/2026 16:42:37.074","46496.8","46431.7","0.60 Lots","","0.00","0.00","0.00","-39.06","-39.06","3 906.68","-65.1","0.60 Lots","cBot Cloud","RRL","","DID305532359","$ 27 860.88"
"OID350658470","US30","Buy","Sell","02/04/2026 16:35:00.426","02/04/2026 16:48:48.953","46481.4","46419.1","0.60 Lots","","0.00","0.00","0.00","-37.38","-37.38","3 869.30","-62.3","0.60 Lots","cBot Cloud","RRL","","DID305533750","$ 27 849.84"
